evi,evi_raw,ndvi,ndvi_raw,date,day,district,month,year
0.3639313963210354,3639.3139632103534,0.5739568452339113,5739.568452339113,2002-12-19,19,Choma,12,2002
0.3481099388243154,3481.099388243154,0.5466031643929196,5466.0316439291955,2003-01-01,1,Choma,1,2003
0.3483215343691615,3483.215343691615,0.5236522504480852,5236.522504480851,2003-01-17,17,Choma,1,2003
0.4492604695271464,4492.604695271464,0.6568498639376852,6568.498639376851,2003-02-02,2,Choma,2,2003
0.4034466949964025,4034.466949964025,0.647336644867051,6473.366448670509,2003-02-18,18,Choma,2,2003
0.4370849307635822,4370.849307635822,0.6827873113172148,6827.873113172148,2003-03-06,6,Choma,3,2003
0.4513995276605856,4513.995276605856,0.6817658842965876,6817.658842965875,2003-03-22,22,Choma,3,2003
0.3994657752409989,3994.65775240999,0.6532185501159806,6532.185501159806,2003-04-07,7,Choma,4,2003
0.3324975780704734,3324.975780704734,0.5748629109834806,5748.6291098348065,2003-04-23,23,Choma,4,2003
0.2848753999859047,2848.7539998590473,0.5198380131538959,5198.380131538958,2003-05-09,9,Choma,5,2003
0.2439146017494571,2439.1460174945714,0.4638022455136323,4638.022455136323,2003-05-25,25,Choma,5,2003
0.2297304004443737,2297.304004443737,0.4403743447490883,4403.743447490883,2003-06-10,10,Choma,6,2003
0.2038792510508792,2038.7925105087927,0.4058517631358984,4058.517631358984,2003-06-26,26,Choma,6,2003
0.1903720906723126,1903.7209067231256,0.3724573403182302,3724.5734031823017,2003-07-12,12,Choma,7,2003
0.1773361820812072,1773.3618208120724,0.3405949998825411,3405.949998825411,2003-07-28,28,Choma,7,2003
0.1588475823520449,1588.4758235204497,0.3126323335927534,3126.323335927534,2003-08-13,13,Choma,8,2003
0.163206318386734,1632.0631838673405,0.3038228882949415,3038.2288829494146,2003-08-29,29,Choma,8,2003
0.1649189967634351,1649.189967634351,0.2955403017863623,2955.403017863623,2003-09-14,14,Choma,9,2003
0.1654734525908808,1654.734525908808,0.2952383524210576,2952.383524210576,2003-09-30,30,Choma,9,2003
