soil_moisture_layer2,date,day,district,month,year
0.4169542520550235,2025-01-11,11,Itezhi-Tezhi,1,2025
0.4856568347170772,2025-01-11,11,Kalomo,1,2025
0.4496993820076568,2025-01-11,11,Kazungula,1,2025
0.4699210673357996,2025-01-11,11,Mazabuka,1,2025
0.467805342762687,2025-01-11,11,Monze,1,2025
0.468893578108257,2025-01-11,11,Namwala,1,2025
0.4505112253787635,2025-01-11,11,Pemba,1,2025
0.3651665730831193,2025-01-11,11,Siavonga,1,2025
0.3608391183886323,2025-01-11,11,Sinazongwe,1,2025
0.4394448954834895,2025-01-11,11,Zimba,1,2025
0.4807030179264348,2025-01-11,11,Choma,1,2025
0.4456889388049662,2025-01-12,12,Livingstone,1,2025
0.4069876081833983,2025-01-12,12,Chikankanta,1,2025
0.3524378225813147,2025-01-12,12,Chirundu,1,2025
0.3151151099478974,2025-01-12,12,Gwembe,1,2025
0.4104924842988128,2025-01-12,12,Itezhi-Tezhi,1,2025
0.4790542595883484,2025-01-12,12,Kalomo,1,2025
0.441875821455243,2025-01-12,12,Kazungula,1,2025
0.4632801439305213,2025-01-12,12,Mazabuka,1,2025
0.4589890687061397,2025-01-12,12,Monze,1,2025
0.4659812497050684,2025-01-12,12,Namwala,1,2025
0.4430758381774216,2025-01-12,12,Pemba,1,2025
0.3498223567254169,2025-01-12,12,Siavonga,1,2025
0.352427370252812,2025-01-12,12,Sinazongwe,1,2025
0.4468493320037798,2025-01-12,12,Zimba,1,2025
0.4728581092343772,2025-01-12,12,Choma,1,2025
0.4560612469603228,2025-01-13,13,Livingstone,1,2025
0.4000117143462444,2025-01-13,13,Chikankanta,1,2025
0.3379305937473224,2025-01-13,13,Chirundu,1,2025
0.3119922708148605,2025-01-13,13,Gwembe,1,2025
0.4310156381892183,2025-01-13,13,Itezhi-Tezhi,1,2025
0.4940772322277283,2025-01-13,13,Kalomo,1,2025
0.455642064918424,2025-01-13,13,Kazungula,1,2025
0.4513577453114247,2025-01-13,13,Mazabuka,1,2025
0.452015001619426,2025-01-13,13,Monze,1,2025
0.477136579717994,2025-01-13,13,Namwala,1,2025
0.4432871290895441,2025-01-13,13,Pemba,1,2025
0.3324656233236563,2025-01-13,13,Siavonga,1,2025
0.3475458723793174,2025-01-13,13,Sinazongwe,1,2025
0.4607898765354609,2025-01-13,13,Zimba,1,2025
0.4811424202093837,2025-01-13,13,Choma,1,2025
0.4590882345517905,2025-01-14,14,Livingstone,1,2025
0.3809417358729136,2025-01-14,14,Chikankanta,1,2025
0.3183161305657543,2025-01-14,14,Chirundu,1,2025
0.3007858030708749,2025-01-14,14,Gwembe,1,2025
0.4279087133466366,2025-01-14,14,Itezhi-Tezhi,1,2025
0.4795997105397906,2025-01-14,14,Kalomo,1,2025
0.4520703799394708,2025-01-14,14,Kazungula,1,2025
0.4374705243319385,2025-01-14,14,Mazabuka,1,2025
0.4394701184719306,2025-01-14,14,Monze,1,2025
0.4703755692353165,2025-01-14,14,Namwala,1,2025
0.4363446312453352,2025-01-14,14,Pemba,1,2025
0.3137217735710535,2025-01-14,14,Siavonga,1,2025
0.3392412921401281,2025-01-14,14,Sinazongwe,1,2025
0.457370177186184,2025-01-14,14,Zimba,1,2025
0.4699585494510362,2025-01-14,14,Choma,1,2025
0.4454535803063409,2025-01-15,15,Livingstone,1,2025
0.3653490935164066,2025-01-15,15,Chikankanta,1,2025
0.3012568732756401,2025-01-15,15,Chirundu,1,2025
0.2878569609479422,2025-01-15,15,Gwembe,1,2025
0.4173878819052975,2025-01-15,15,Itezhi-Tezhi,1,2025
0.47411203652374,2025-01-15,15,Kalomo,1,2025
0.4442428099821013,2025-01-15,15,Kazungula,1,2025
