date,day,district,month,pet_mm,precip_mm,year
2017-11-26,26,Itezhi-Tezhi,11,-4.704865188173719,12.195712623134355,2017
2017-11-27,27,Itezhi-Tezhi,11,-3.9012788864166734,8.179398898954336,2017
2017-11-28,28,Itezhi-Tezhi,11,-7.112135663854864,0.0676113428782491,2017
2017-11-29,29,Itezhi-Tezhi,11,-8.25570189206408,0.2378724831514793,2017
2017-11-30,30,Itezhi-Tezhi,11,-8.554040895946267,0.0463933972564643,2017
2017-12-01,1,Itezhi-Tezhi,12,-8.949698725812986,0.0164841307101867,2017
2017-12-02,2,Itezhi-Tezhi,12,-8.348043837861347,2.104370971079365,2017
2017-12-03,3,Itezhi-Tezhi,12,-9.60611655081826,2.0361061846158366,2017
2017-12-04,4,Itezhi-Tezhi,12,-10.163754449746834,2.106847485763777,2017
2017-12-05,5,Itezhi-Tezhi,12,-7.199603138753004,3.295765512961423,2017
2017-12-06,6,Itezhi-Tezhi,12,-5.351328930728814,6.524245983164084,2017
2017-12-07,7,Itezhi-Tezhi,12,-6.405973813952646,7.249380425076208,2017
2017-12-08,8,Itezhi-Tezhi,12,-10.747863724597083,0.8671787740870833,2017
2017-12-09,9,Itezhi-Tezhi,12,-8.088324445386064,1.9460106669606616,2017
2017-12-10,10,Itezhi-Tezhi,12,-5.941395441391123,6.107605426161439,2017
2017-12-11,11,Itezhi-Tezhi,12,-3.0320300057834015,5.295910103973183,2017
2017-12-12,12,Itezhi-Tezhi,12,-6.964045644555183,3.5258106560013354,2017
2017-12-13,13,Itezhi-Tezhi,12,-5.8400737420434075,5.5148302096859565,2017
2017-12-14,14,Itezhi-Tezhi,12,-7.141174136848862,4.43431799630525,2017
2017-12-15,15,Itezhi-Tezhi,12,-5.9614664816559015,8.666246214720747,2017
2017-12-16,16,Itezhi-Tezhi,12,-7.947093013643153,0.4365609067864611,2017
2017-12-17,17,Itezhi-Tezhi,12,-9.112273514573086,-999.0,2017
2017-12-18,18,Itezhi-Tezhi,12,-9.60140173167111,-999.0,2017
2017-12-19,19,Itezhi-Tezhi,12,-8.894800133400095,1.4458400511357006,2017
2017-12-20,20,Itezhi-Tezhi,12,-6.5587474861988095,6.5354247517835615,2017
2017-12-21,21,Itezhi-Tezhi,12,-5.7861416074498,1.3082544073815376,2017
2017-12-22,22,Itezhi-Tezhi,12,-7.152866518206062,0.5586077343945753,2017
2017-12-23,23,Itezhi-Tezhi,12,-7.547480782137875,4.644024610473704,2017
2017-12-24,24,Itezhi-Tezhi,12,-7.0478240802400345,3.611309950368308,2017
2017-12-25,25,Itezhi-Tezhi,12,-5.284925344783837,5.9550440439810295,2017
2017-12-26,26,Itezhi-Tezhi,12,-2.4960899540296966,27.923695207770702,2017
2017-12-27,27,Itezhi-Tezhi,12,-2.1808006747517044,18.293283951905845,2017
2017-12-28,28,Itezhi-Tezhi,12,-3.5182097757294644,4.213042632869067,2017
2017-12-29,29,Itezhi-Tezhi,12,-5.578494476773936,1.8844291081834807,2017
2017-12-30,30,Itezhi-Tezhi,12,-6.709535049795629,0.0855441233794452,2017
2018-01-01,1,Itezhi-Tezhi,1,-7.605342373545872,10.886797815428576,2018
2018-01-02,2,Itezhi-Tezhi,1,-7.197427041726475,5.72004064271629,2018
2018-01-03,3,Itezhi-Tezhi,1,-6.060923524309664,0.3636276456759644,2018
2018-01-04,4,Itezhi-Tezhi,1,-7.52060045671488,-999.0,2018
2018-01-05,5,Itezhi-Tezhi,1,-7.632910070117921,-999.0,2018
2018-01-06,6,Itezhi-Tezhi,1,-9.72476614936248,-999.0,2018
2018-01-07,7,Itezhi-Tezhi,1,-9.912566766478983,-999.0,2018
2018-01-08,8,Itezhi-Tezhi,1,-10.406617584132691,0.8271575017145846,2018
2018-01-09,9,Itezhi-Tezhi,1,-8.829179293637324,0.0055524020930928,2018
2018-01-10,10,Itezhi-Tezhi,1,-6.7625713815288515,3.4351605704915538,2018
2018-01-11,11,Itezhi-Tezhi,1,-7.216646604516099,-999.0,2018
2018-01-12,12,Itezhi-Tezhi,1,-8.818800222275055,-999.0,2018
2018-01-13,13,Itezhi-Tezhi,1,-9.335898108312648,-999.0,2018
2018-01-14,14,Itezhi-Tezhi,1,-8.192779869961624,0.09823587146649,2018
2018-01-15,15,Itezhi-Tezhi,1,-8.531471155084045,0.9613883396871604,2018
2018-01-16,16,Itezhi-Tezhi,1,-7.22604407127677,3.7538705125600944,2018
2018-01-17,17,Itezhi-Tezhi,1,-5.564547739941677,2.104852129449065,2018
2018-01-18,18,Itezhi-Tezhi,1,-7.035463257037424,-999.0,2018
2018-01-19,19,Itezhi-Tezhi,1,-8.445809979014921,0.0313774286007808,2018
2018-01-20,20,Itezhi-Tezhi,1,-8.012749168802038,0.545178034513917,2018
2018-01-21,21,Itezhi-Tezhi,1,-8.349727952045846,0.2389672131948611,2018
2018-01-22,22,Itezhi-Tezhi,1,-8.390104005148562,0.000417390484106299,2018
2018-01-23,23,Itezhi-Tezhi,1,-9.27393800640994,0.0474287056158583,2018
2018-01-24,24,Itezhi-Tezhi,1,-8.776786978508486,5.799982439797673,2018
2018-01-25,25,Itezhi-Tezhi,1,-7.626253014032588,1.6322032070822283,2018
2018-01-26,26,Itezhi-Tezhi,1,-7.464586723317613,1.0379839522212713,2018
2018-01-27,27,Itezhi-Tezhi,1,-8.934611237710303,-999.0,2018
2018-01-28,28,Itezhi-Tezhi,1,-8.6928702445108,-999.0,2018
2018-01-29,29,Itezhi-Tezhi,1,-7.594116146805343,5.274274806431797,2018
2018-01-30,30,Itezhi-Tezhi,1,-6.610559799783093,8.43066301897661,2018
2018-01-31,31,Itezhi-Tezhi,1,-6.098213400303433,5.559337610389022,2018
2018-02-01,1,Itezhi-Tezhi,2,-4.166673705110547,16.956228760499826,2018
2018-02-02,2,Itezhi-Tezhi,2,-6.608758910111184,4.319409335559966,2018
2018-02-03,3,Itezhi-Tezhi,2,-5.633265770438132,8.194640864252069,2018
2018-02-04,4,Itezhi-Tezhi,2,-3.0192183258978993,5.476994258341326,2018
2018-02-05,5,Itezhi-Tezhi,2,-4.367766006640801,10.287691178175436,2018
2018-02-06,6,Itezhi-Tezhi,2,-4.826934574651334,3.6056049338211738,2018
2018-02-07,7,Itezhi-Tezhi,2,-4.0607955678605405,32.57806149907799,2018
2018-02-08,8,Itezhi-Tezhi,2,-2.6588444546253043,35.503732759802695,2018
2018-02-09,9,Itezhi-Tezhi,2,-1.9955695625854304,32.530907089210224,2018
2018-02-10,10,Itezhi-Tezhi,2,-4.556989843052771,0.0192460712000055,2018
2018-02-11,11,Itezhi-Tezhi,2,-5.665751898378011,-999.0,2018
