feature_id,year,Drought_Days
ABU AL-MATAMIR,2021,0
ABU AL-MATAMIR,2022,0
ABU AL-MATAMIR,2023,0
ABU AL-MATAMIR,2024,0
ABU AL-MATAMIR,2025,0
ABU HAMMAD,2000,0
ABU HAMMAD,2001,0
ABU HAMMAD,2002,0
ABU HAMMAD,2003,0
ABU HAMMAD,2004,0
ABU HAMMAD,2005,0
ABU HAMMAD,2006,0
ABU HAMMAD,2007,0
ABU HAMMAD,2008,0
ABU HAMMAD,2009,19
ABU HAMMAD,2010,19
ABU HAMMAD,2011,0
ABU HAMMAD,2012,0
ABU HAMMAD,2013,0
ABU HAMMAD,2014,0
ABU HAMMAD,2015,19
ABU HAMMAD,2016,0
ABU HAMMAD,2017,0
ABU HAMMAD,2018,19
ABU HAMMAD,2019,0
ABU HAMMAD,2020,0
ABU HAMMAD,2021,0
ABU HAMMAD,2022,0
ABU HAMMAD,2023,0
ABU HAMMAD,2024,0
ABU HAMMAD,2025,19
ABU HUMMUS,2000,0
ABU HUMMUS,2001,0
ABU HUMMUS,2002,0
ABU HUMMUS,2003,0
ABU HUMMUS,2004,0
ABU HUMMUS,2005,0
ABU HUMMUS,2006,0
ABU HUMMUS,2007,0
ABU HUMMUS,2008,0
ABU HUMMUS,2009,0
ABU HUMMUS,2010,19
ABU HUMMUS,2011,0
ABU HUMMUS,2012,0
ABU HUMMUS,2013,0
ABU HUMMUS,2014,0
ABU HUMMUS,2015,0
ABU HUMMUS,2016,0
ABU HUMMUS,2017,0
ABU HUMMUS,2018,0
ABU HUMMUS,2019,0
ABU HUMMUS,2020,0
ABU HUMMUS,2021,0
ABU HUMMUS,2022,0
ABU HUMMUS,2023,0
ABU HUMMUS,2024,0
ABU HUMMUS,2025,19
ABU KABIR,2000,0
ABU KABIR,2001,0
ABU KABIR,2002,0
ABU KABIR,2003,0
ABU KABIR,2004,0
ABU KABIR,2005,0
ABU KABIR,2006,19
ABU KABIR,2007,0
ABU KABIR,2008,0
ABU KABIR,2009,0
ABU KABIR,2010,0
ABU KABIR,2011,0
ABU KABIR,2012,0
ABU KABIR,2013,0
ABU KABIR,2014,0
ABU KABIR,2015,0
ABU KABIR,2016,0
ABU KABIR,2017,0
ABU KABIR,2018,0
ABU KABIR,2019,0
ABU KABIR,2020,0
ABU KABIR,2021,0
ABU KABIR,2022,0
ABU KABIR,2023,0
ABU KABIR,2024,0
ABU KABIR,2025,19
ABU QURQAS,2000,0
ABU QURQAS,2001,0
ABU QURQAS,2002,0
ABU QURQAS,2003,0
ABU QURQAS,2004,0
ABU QURQAS,2005,0
ABU QURQAS,2006,0
ABU QURQAS,2007,0
ABU QURQAS,2008,0
ABU QURQAS,2009,0
ABU QURQAS,2010,0
ABU QURQAS,2011,0
ABU QURQAS,2012,0
ABU QURQAS,2013,0
ABU QURQAS,2014,0
ABU QURQAS,2015,0
ABU QURQAS,2016,0
ABU QURQAS,2017,0
ABU QURQAS,2018,0
ABU QURQAS,2019,0
ABU QURQAS,2020,0
ABU QURQAS,2021,0
ABU QURQAS,2022,0
ABU QURQAS,2023,0
ABU QURQAS,2024,0
ABU QURQAS,2025,0
ABU TIJ,2000,0
ABU TIJ,2001,0
ABU TIJ,2002,0
ABU TIJ,2003,0
ABU TIJ,2004,0
ABU TIJ,2005,0
ABU TIJ,2006,0
ABU TIJ,2007,0
ABU TIJ,2008,0
ABU TIJ,2009,0
ABU TIJ,2010,0
ABU TIJ,2011,0
ABU TIJ,2012,0
ABU TIJ,2013,0
ABU TIJ,2014,0
ABU TIJ,2015,0
ABU TIJ,2016,0
ABU TIJ,2017,0
ABU TIJ,2018,0
ABU TIJ,2019,0
ABU TIJ,2020,0
ABU TIJ,2021,0
ABU TIJ,2022,0
ABU TIJ,2023,0
ABU TIJ,2024,0
ABU TIJ,2025,0
ABU TISHT,2000,0
ABU TISHT,2001,0
ABU TISHT,2002,0
ABU TISHT,2003,0
ABU TISHT,2004,0
ABU TISHT,2005,0
ABU TISHT,2006,0
ABU TISHT,2007,0
ABU TISHT,2008,0
ABU TISHT,2009,0
ABU TISHT,2010,0
ABU TISHT,2011,0
ABU TISHT,2012,0
ABU TISHT,2013,0
ABU TISHT,2014,0
ABU TISHT,2015,0
ABU TISHT,2016,0
ABU TISHT,2017,0
ABU TISHT,2018,0
ABU TISHT,2019,0
ABU TISHT,2020,0
ABU TISHT,2021,0
ABU TISHT,2022,0
ABU TISHT,2023,0
ABU TISHT,2024,0
ABU TISHT,2025,0
ABUJA,2000,0
ABUJA,2001,0
ABUJA,2002,7
ABUJA,2003,5
ABUJA,2004,0
ABUJA,2005,0
ABUJA,2006,0
ABUJA,2007,1
ABUJA,2008,0
ABUJA,2009,0
ABUJA,2010,0
ABUJA,2011,0
ABUJA,2012,0
ABUJA,2013,0
ABUJA,2014,0
ABUJA,2015,38
ABUJA,2016,0
ABUJA,2017,0
ABUJA,2018,0
ABUJA,2019,0
ABUJA,2020,6
ABUJA,2021,37
ABUJA,2022,21
ABUJA,2023,0
ABUJA,2024,35
ABUJA,2025,11
AD-DILINAT,2000,0
AD-DILINAT,2001,19
AD-DILINAT,2002,0
AD-DILINAT,2003,0
AD-DILINAT,2004,0
AD-DILINAT,2005,0
AD-DILINAT,2006,0
AD-DILINAT,2007,0
AD-DILINAT,2008,0
AD-DILINAT,2009,0
AD-DILINAT,2010,19
AD-DILINAT,2011,0
AD-DILINAT,2012,0
AD-DILINAT,2013,0
AD-DILINAT,2014,0
AD-DILINAT,2015,19
AD-DILINAT,2016,0
AD-DILINAT,2017,0
AD-DILINAT,2018,0
AD-DILINAT,2019,0
AD-DILINAT,2020,0
AD-DILINAT,2021,0
AD-DILINAT,2022,0
AD-DILINAT,2023,0
AD-DILINAT,2024,0
AD-DILINAT,2025,19
ADA WEST,2000,7
ADA WEST,2001,0
ADA WEST,2002,1
ADA WEST,2003,1
ADA WEST,2004,47
ADA WEST,2005,0
ADA WEST,2006,0
ADA WEST,2007,50
ADA WEST,2008,0
ADA WEST,2009,14
ADA WEST,2010,0
ADA WEST,2011,2
ADA WEST,2012,0
ADA WEST,2013,25
ADA WEST,2014,0
ADA WEST,2015,0
ADA WEST,2016,1
ADA WEST,2017,2
ADA WEST,2018,0
ADA WEST,2019,13
ADA WEST,2020,8
ADA WEST,2021,41
ADA WEST,2022,3
ADA WEST,2023,0
ADA WEST,2024,3
ADA WEST,2025,15
ADAKLU,2000,22
ADAKLU,2001,0
ADAKLU,2002,0
ADAKLU,2003,3
ADAKLU,2004,11
ADAKLU,2005,6
ADAKLU,2006,13
ADAKLU,2007,40
ADAKLU,2008,13
ADAKLU,2009,8
ADAKLU,2010,4
ADAKLU,2011,2
ADAKLU,2012,0
ADAKLU,2013,10
ADAKLU,2014,0
ADAKLU,2015,8
ADAKLU,2016,2
ADAKLU,2017,0
ADAKLU,2018,0
ADAKLU,2019,3
ADAKLU,2020,11
ADAKLU,2021,62
ADAKLU,2022,6
ADAKLU,2023,24
ADAKLU,2024,29
ADAKLU,2025,30
ADO,2000,24
ADO,2001,0
ADO,2002,0
ADO,2003,15
ADO,2004,2
ADO,2005,7
ADO,2006,20
ADO,2007,16
ADO,2008,1
ADO,2009,3
ADO,2010,22
ADO,2011,9
ADO,2012,0
ADO,2013,0
ADO,2014,0
ADO,2015,17
ADO,2016,2
ADO,2017,0
ADO,2018,1
ADO,2019,0
ADO,2020,10
ADO,2021,68
ADO,2022,27
ADO,2023,33
ADO,2024,32
ADO,2025,49
AFGOOYE,2000,7
AFGOOYE,2001,0
AFGOOYE,2002,0
AFGOOYE,2003,0
AFGOOYE,2004,24
AFGOOYE,2005,18
AFGOOYE,2006,2
AFGOOYE,2007,21
AFGOOYE,2008,22
AFGOOYE,2009,37
AFGOOYE,2010,0
AFGOOYE,2011,4
AFGOOYE,2012,0
AFGOOYE,2013,0
AFGOOYE,2014,6
AFGOOYE,2015,0
AFGOOYE,2016,0
AFGOOYE,2017,0
AFGOOYE,2018,0
AFGOOYE,2019,12
AFGOOYE,2020,0
AFGOOYE,2021,52
AFGOOYE,2022,36
AFGOOYE,2023,55
AFGOOYE,2024,0
AFGOOYE,2025,0
AFIJIO,2000,33
AFIJIO,2001,0
AFIJIO,2002,0
AFIJIO,2003,5
AFIJIO,2004,0
AFIJIO,2005,2
AFIJIO,2006,18
AFIJIO,2007,20
AFIJIO,2008,0
AFIJIO,2009,8
AFIJIO,2010,16
AFIJIO,2011,0
AFIJIO,2012,0
AFIJIO,2013,3
AFIJIO,2014,0
AFIJIO,2015,16
AFIJIO,2016,0
AFIJIO,2017,0
AFIJIO,2018,0
AFIJIO,2019,0
AFIJIO,2020,36
AFIJIO,2021,77
AFIJIO,2022,30
AFIJIO,2023,28
AFIJIO,2024,88
AFIJIO,2025,10
AGAGO,2000,25
AGAGO,2001,0
AGAGO,2002,33
AGAGO,2003,0
AGAGO,2004,10
AGAGO,2005,0
AGAGO,2006,0
AGAGO,2007,8
AGAGO,2008,28
AGAGO,2009,20
AGAGO,2010,0
AGAGO,2011,6
AGAGO,2012,0
AGAGO,2013,10
AGAGO,2014,0
AGAGO,2015,0
AGAGO,2016,13
AGAGO,2017,22
AGAGO,2018,0
AGAGO,2019,5
AGAGO,2020,0
AGAGO,2021,23
AGAGO,2022,9
AGAGO,2023,23
AGAGO,2024,13
AGAGO,2025,25
AGAIE,2000,0
AGAIE,2001,8
AGAIE,2002,5
AGAIE,2003,5
AGAIE,2004,0
AGAIE,2005,0
AGAIE,2006,0
AGAIE,2007,0
AGAIE,2008,0
AGAIE,2009,9
AGAIE,2010,0
AGAIE,2011,0
AGAIE,2012,0
AGAIE,2013,4
AGAIE,2014,0
AGAIE,2015,36
AGAIE,2016,0
AGAIE,2017,0
AGAIE,2018,0
AGAIE,2019,0
AGAIE,2020,4
AGAIE,2021,34
AGAIE,2022,18
AGAIE,2023,0
AGAIE,2024,42
AGAIE,2025,20
AGATU,2000,10
AGATU,2001,0
AGATU,2002,16
AGATU,2003,4
AGATU,2004,9
AGATU,2005,0
AGATU,2006,4
AGATU,2007,4
AGATU,2008,0
AGATU,2009,6
AGATU,2010,1
AGATU,2011,0
AGATU,2012,0
AGATU,2013,0
AGATU,2014,0
AGATU,2015,32
AGATU,2016,0
AGATU,2017,6
AGATU,2018,7
AGATU,2019,0
AGATU,2020,10
AGATU,2021,55
AGATU,2022,19
AGATU,2023,30
AGATU,2024,49
AGATU,2025,48
AGBANGNIZOUN,2000,25
AGBANGNIZOUN,2001,0
AGBANGNIZOUN,2002,0
AGBANGNIZOUN,2003,0
AGBANGNIZOUN,2004,1
AGBANGNIZOUN,2005,0
AGBANGNIZOUN,2006,0
AGBANGNIZOUN,2007,6
AGBANGNIZOUN,2008,2
AGBANGNIZOUN,2009,10
AGBANGNIZOUN,2010,0
AGBANGNIZOUN,2011,8
AGBANGNIZOUN,2012,0
AGBANGNIZOUN,2013,13
AGBANGNIZOUN,2014,0
AGBANGNIZOUN,2015,7
AGBANGNIZOUN,2016,0
AGBANGNIZOUN,2017,0
AGBANGNIZOUN,2018,0
AGBANGNIZOUN,2019,0
AGBANGNIZOUN,2020,20
AGBANGNIZOUN,2021,68
AGBANGNIZOUN,2022,10
AGBANGNIZOUN,2023,12
AGBANGNIZOUN,2024,64
AGBANGNIZOUN,2025,24
AGEW AWI,2000,0
AGEW AWI,2001,0
AGEW AWI,2002,0
AGEW AWI,2003,0
AGEW AWI,2004,0
AGEW AWI,2005,0
AGEW AWI,2006,0
AGEW AWI,2007,1
AGEW AWI,2008,0
AGEW AWI,2009,0
AGEW AWI,2010,0
AGEW AWI,2011,0
AGEW AWI,2012,0
AGEW AWI,2013,0
AGEW AWI,2014,0
AGEW AWI,2015,0
AGEW AWI,2016,1
AGEW AWI,2017,1
AGEW AWI,2018,0
AGEW AWI,2019,0
AGEW AWI,2020,1
AGEW AWI,2021,0
AGEW AWI,2022,0
AGEW AWI,2023,0
AGEW AWI,2024,0
AGEW AWI,2025,0
AGNÉBY-TIASSA,2000,43
AGNÉBY-TIASSA,2001,3
AGNÉBY-TIASSA,2002,1
AGNÉBY-TIASSA,2003,30
AGNÉBY-TIASSA,2004,20
AGNÉBY-TIASSA,2005,6
AGNÉBY-TIASSA,2006,3
AGNÉBY-TIASSA,2007,9
AGNÉBY-TIASSA,2008,6
AGNÉBY-TIASSA,2009,3
AGNÉBY-TIASSA,2010,2
AGNÉBY-TIASSA,2011,5
AGNÉBY-TIASSA,2012,4
AGNÉBY-TIASSA,2013,11
AGNÉBY-TIASSA,2014,0
AGNÉBY-TIASSA,2015,3
AGNÉBY-TIASSA,2016,16
AGNÉBY-TIASSA,2017,1
AGNÉBY-TIASSA,2018,0
AGNÉBY-TIASSA,2019,3
AGNÉBY-TIASSA,2020,7
AGNÉBY-TIASSA,2021,49
AGNÉBY-TIASSA,2022,8
AGNÉBY-TIASSA,2023,7
AGNÉBY-TIASSA,2024,53
AGNÉBY-TIASSA,2025,43
AGOTIME ZIOPE,2000,18
AGOTIME ZIOPE,2001,0
AGOTIME ZIOPE,2002,0
AGOTIME ZIOPE,2003,3
AGOTIME ZIOPE,2004,9
AGOTIME ZIOPE,2005,6
AGOTIME ZIOPE,2006,10
AGOTIME ZIOPE,2007,38
AGOTIME ZIOPE,2008,9
AGOTIME ZIOPE,2009,15
AGOTIME ZIOPE,2010,4
AGOTIME ZIOPE,2011,2
AGOTIME ZIOPE,2012,0
AGOTIME ZIOPE,2013,10
AGOTIME ZIOPE,2014,0
AGOTIME ZIOPE,2015,9
AGOTIME ZIOPE,2016,0
AGOTIME ZIOPE,2017,0
AGOTIME ZIOPE,2018,0
AGOTIME ZIOPE,2019,3
AGOTIME ZIOPE,2020,6
AGOTIME ZIOPE,2021,69
AGOTIME ZIOPE,2022,7
AGOTIME ZIOPE,2023,20
AGOTIME ZIOPE,2024,32
AGOTIME ZIOPE,2025,27
AGWARA,2000,0
AGWARA,2001,0
AGWARA,2002,0
AGWARA,2003,1
AGWARA,2004,0
AGWARA,2005,0
AGWARA,2006,0
AGWARA,2007,0
AGWARA,2008,0
AGWARA,2009,0
AGWARA,2010,0
AGWARA,2011,0
AGWARA,2012,0
AGWARA,2013,0
AGWARA,2014,0
AGWARA,2015,0
AGWARA,2016,0
AGWARA,2017,0
AGWARA,2018,0
AGWARA,2019,0
AGWARA,2020,0
AGWARA,2021,15
AGWARA,2022,0
AGWARA,2023,18
AGWARA,2024,26
AGWARA,2025,0
AINABKOI,2000,4
AINABKOI,2001,0
AINABKOI,2002,5
AINABKOI,2003,0
AINABKOI,2004,4
AINABKOI,2005,1
AINABKOI,2006,0
AINABKOI,2007,1
AINABKOI,2008,0
AINABKOI,2009,26
AINABKOI,2010,0
AINABKOI,2011,0
AINABKOI,2012,0
AINABKOI,2013,0
AINABKOI,2014,4
AINABKOI,2015,0
AINABKOI,2016,11
AINABKOI,2017,9
AINABKOI,2018,0
AINABKOI,2019,0
AINABKOI,2020,0
AINABKOI,2021,24
AINABKOI,2022,5
AINABKOI,2023,4
AINABKOI,2024,0
AINABKOI,2025,0
AINAMOI,2000,18
AINAMOI,2001,1
AINAMOI,2002,15
AINAMOI,2003,0
AINAMOI,2004,5
AINAMOI,2005,1
AINAMOI,2006,0
AINAMOI,2007,1
AINAMOI,2008,1
AINAMOI,2009,23
AINAMOI,2010,0
AINAMOI,2011,0
AINAMOI,2012,0
AINAMOI,2013,3
AINAMOI,2014,0
AINAMOI,2015,0
AINAMOI,2016,14
AINAMOI,2017,22
AINAMOI,2018,0
AINAMOI,2019,0
AINAMOI,2020,0
AINAMOI,2021,9
AINAMOI,2022,1
AINAMOI,2023,4
AINAMOI,2024,10
AINAMOI,2025,0
AJA,2000,0
AJA,2001,19
AJA,2002,0
AJA,2003,0
AJA,2004,0
AJA,2005,19
AJA,2006,0
AJA,2007,0
AJA,2008,0
AJA,2009,0
AJA,2010,0
AJA,2011,0
AJA,2012,0
AJA,2013,0
AJA,2014,0
AJA,2015,19
AJA,2016,0
AJA,2017,0
AJA,2018,19
AJA,2019,0
AJA,2020,0
AJA,2021,0
AJA,2022,0
AJA,2023,0
AJA,2024,0
AJA,2025,19
AJAOKUTA,2000,11
AJAOKUTA,2001,1
AJAOKUTA,2002,8
AJAOKUTA,2003,14
AJAOKUTA,2004,2
AJAOKUTA,2005,0
AJAOKUTA,2006,0
AJAOKUTA,2007,8
AJAOKUTA,2008,0
AJAOKUTA,2009,0
AJAOKUTA,2010,0
AJAOKUTA,2011,0
AJAOKUTA,2012,0
AJAOKUTA,2013,0
AJAOKUTA,2014,0
AJAOKUTA,2015,0
AJAOKUTA,2016,0
AJAOKUTA,2017,1
AJAOKUTA,2018,0
AJAOKUTA,2019,0
AJAOKUTA,2020,9
AJAOKUTA,2021,50
AJAOKUTA,2022,48
AJAOKUTA,2023,44
AJAOKUTA,2024,18
AJAOKUTA,2025,53
AJINGI,2000,6
AJINGI,2001,0
AJINGI,2002,13
AJINGI,2003,0
AJINGI,2004,0
AJINGI,2005,0
AJINGI,2006,4
AJINGI,2007,0
AJINGI,2008,11
AJINGI,2009,5
AJINGI,2010,11
AJINGI,2011,0
AJINGI,2012,0
AJINGI,2013,0
AJINGI,2014,4
AJINGI,2015,18
AJINGI,2016,0
AJINGI,2017,0
AJINGI,2018,3
AJINGI,2019,0
AJINGI,2020,8
AJINGI,2021,20
AJINGI,2022,12
AJINGI,2023,1
AJINGI,2024,9
AJINGI,2025,0
AKATSI NORTH,2000,20
AKATSI NORTH,2001,0
AKATSI NORTH,2002,0
AKATSI NORTH,2003,2
AKATSI NORTH,2004,26
AKATSI NORTH,2005,0
AKATSI NORTH,2006,14
AKATSI NORTH,2007,63
AKATSI NORTH,2008,2
AKATSI NORTH,2009,16
AKATSI NORTH,2010,4
AKATSI NORTH,2011,0
AKATSI NORTH,2012,1
AKATSI NORTH,2013,17
AKATSI NORTH,2014,0
AKATSI NORTH,2015,6
AKATSI NORTH,2016,0
AKATSI NORTH,2017,0
AKATSI NORTH,2018,2
AKATSI NORTH,2019,4
AKATSI NORTH,2020,5
AKATSI NORTH,2021,63
AKATSI NORTH,2022,0
AKATSI NORTH,2023,6
AKATSI NORTH,2024,29
AKATSI NORTH,2025,33
AKATSI SOUTH,2000,27
AKATSI SOUTH,2001,0
AKATSI SOUTH,2002,2
AKATSI SOUTH,2003,1
AKATSI SOUTH,2004,36
AKATSI SOUTH,2005,0
AKATSI SOUTH,2006,15
AKATSI SOUTH,2007,54
AKATSI SOUTH,2008,0
AKATSI SOUTH,2009,14
AKATSI SOUTH,2010,0
AKATSI SOUTH,2011,0
AKATSI SOUTH,2012,0
AKATSI SOUTH,2013,25
AKATSI SOUTH,2014,0
AKATSI SOUTH,2015,3
AKATSI SOUTH,2016,0
AKATSI SOUTH,2017,0
AKATSI SOUTH,2018,0
AKATSI SOUTH,2019,7
AKATSI SOUTH,2020,6
AKATSI SOUTH,2021,59
AKATSI SOUTH,2022,0
AKATSI SOUTH,2023,13
AKATSI SOUTH,2024,20
AKATSI SOUTH,2025,30
AKHMIM,2000,0
AKHMIM,2001,0
AKHMIM,2002,0
AKHMIM,2003,0
AKHMIM,2004,0
AKHMIM,2005,0
AKHMIM,2006,0
AKHMIM,2007,0
AKHMIM,2008,0
AKHMIM,2009,0
AKHMIM,2010,0
AKHMIM,2011,0
AKHMIM,2012,0
AKHMIM,2013,0
AKHMIM,2014,0
AKHMIM,2015,0
AKHMIM,2016,0
AKHMIM,2017,0
AKHMIM,2018,0
AKHMIM,2019,0
AKHMIM,2020,0
AKHMIM,2021,0
AKHMIM,2022,0
AKHMIM,2023,0
AKHMIM,2024,0
AKHMIM,2025,0
AKKO,2000,0
AKKO,2001,0
AKKO,2002,2
AKKO,2003,2
AKKO,2004,2
AKKO,2005,0
AKKO,2006,2
AKKO,2007,11
AKKO,2008,0
AKKO,2009,0
AKKO,2010,0
AKKO,2011,0
AKKO,2012,0
AKKO,2013,0
AKKO,2014,0
AKKO,2015,12
AKKO,2016,0
AKKO,2017,0
AKKO,2018,0
AKKO,2019,0
AKKO,2020,4
AKKO,2021,7
AKKO,2022,0
AKKO,2023,0
AKKO,2024,0
AKKO,2025,6
AL RENK,2000,0
AL RENK,2001,0
AL RENK,2002,0
AL RENK,2003,0
AL RENK,2004,0
AL RENK,2005,0
AL RENK,2006,0
AL RENK,2007,0
AL RENK,2008,0
AL RENK,2009,2
AL RENK,2010,0
AL RENK,2011,0
AL RENK,2012,0
AL RENK,2013,0
AL RENK,2014,0
AL RENK,2015,0
AL RENK,2016,0
AL RENK,2017,1
AL RENK,2018,1
AL RENK,2019,0
AL RENK,2020,0
AL RENK,2021,0
AL RENK,2022,14
AL RENK,2023,1
AL RENK,2024,15
AL RENK,2025,9
AL-'AMRIYAH,2000,0
AL-'AMRIYAH,2001,0
AL-'AMRIYAH,2002,0
AL-'AMRIYAH,2003,0
AL-'AMRIYAH,2004,0
AL-'AMRIYAH,2005,0
AL-'AMRIYAH,2006,0
AL-'AMRIYAH,2007,0
AL-'AMRIYAH,2008,0
AL-'AMRIYAH,2009,19
AL-'AMRIYAH,2010,19
AL-'AMRIYAH,2011,19
AL-'AMRIYAH,2012,0
AL-'AMRIYAH,2013,0
AL-'AMRIYAH,2014,0
AL-'AMRIYAH,2015,19
AL-'AMRIYAH,2016,0
AL-'AMRIYAH,2017,0
AL-'AMRIYAH,2018,0
AL-'AMRIYAH,2019,0
AL-'AMRIYAH,2020,0
AL-'AMRIYAH,2021,0
AL-'AMRIYAH,2022,0
AL-'AMRIYAH,2023,0
AL-'AMRIYAH,2024,0
AL-'AMRIYAH,2025,0
AL-'AYYAT,2000,0
AL-'AYYAT,2001,19
AL-'AYYAT,2002,0
AL-'AYYAT,2003,0
AL-'AYYAT,2004,0
AL-'AYYAT,2005,0
AL-'AYYAT,2006,0
AL-'AYYAT,2007,0
AL-'AYYAT,2008,0
AL-'AYYAT,2009,0
AL-'AYYAT,2010,0
AL-'AYYAT,2011,0
AL-'AYYAT,2012,0
AL-'AYYAT,2013,0
AL-'AYYAT,2014,0
AL-'AYYAT,2015,0
AL-'AYYAT,2016,0
AL-'AYYAT,2017,0
AL-'AYYAT,2018,0
AL-'AYYAT,2019,0
AL-'AYYAT,2020,0
AL-'AYYAT,2021,0
AL-'AYYAT,2022,0
AL-'AYYAT,2023,0
AL-'AYYAT,2024,0
AL-'AYYAT,2025,0
AL-'IDWAH,2000,19
AL-'IDWAH,2001,19
AL-'IDWAH,2002,0
AL-'IDWAH,2003,0
AL-'IDWAH,2004,0
AL-'IDWAH,2005,0
AL-'IDWAH,2006,0
AL-'IDWAH,2007,0
AL-'IDWAH,2008,0
AL-'IDWAH,2009,0
AL-'IDWAH,2010,0
AL-'IDWAH,2011,0
AL-'IDWAH,2012,0
AL-'IDWAH,2013,0
AL-'IDWAH,2014,0
AL-'IDWAH,2015,19
AL-'IDWAH,2016,19
AL-'IDWAH,2017,19
AL-'IDWAH,2018,19
AL-'IDWAH,2019,19
AL-'IDWAH,2020,0
AL-'IDWAH,2021,0
AL-'IDWAH,2022,0
AL-'IDWAH,2023,0
AL-'IDWAH,2024,0
AL-'IDWAH,2025,0
AL-'USAYRAT,2000,0
AL-'USAYRAT,2001,0
AL-'USAYRAT,2002,0
AL-'USAYRAT,2003,0
AL-'USAYRAT,2004,0
AL-'USAYRAT,2005,0
AL-'USAYRAT,2006,0
AL-'USAYRAT,2007,0
AL-'USAYRAT,2008,0
AL-'USAYRAT,2009,0
AL-'USAYRAT,2010,0
AL-'USAYRAT,2011,0
AL-'USAYRAT,2012,0
AL-'USAYRAT,2013,0
AL-'USAYRAT,2014,0
AL-'USAYRAT,2015,0
AL-'USAYRAT,2016,0
AL-'USAYRAT,2017,0
AL-'USAYRAT,2018,0
AL-'USAYRAT,2019,0
AL-'USAYRAT,2020,0
AL-'USAYRAT,2021,0
AL-'USAYRAT,2022,0
AL-'USAYRAT,2023,0
AL-'USAYRAT,2024,0
AL-'USAYRAT,2025,0
AL-BADARI,2000,0
AL-BADARI,2001,0
AL-BADARI,2002,0
AL-BADARI,2003,0
AL-BADARI,2004,0
AL-BADARI,2005,0
AL-BADARI,2006,0
AL-BADARI,2007,0
AL-BADARI,2008,0
AL-BADARI,2009,0
AL-BADARI,2010,0
AL-BADARI,2011,0
AL-BADARI,2012,0
AL-BADARI,2013,0
AL-BADARI,2014,0
AL-BADARI,2015,0
AL-BADARI,2016,0
AL-BADARI,2017,0
AL-BADARI,2018,0
AL-BADARI,2019,0
